Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Mathematics and Mechanics of Solids,4.3,"95.0%
17/344
General Mathematics",1607,374,67,0.87,0.778,SAGE,10812865
Molecular Informatics,4.3,"75.0%
147/590
Computer Science Applications",1073,247,76,0.684,0.649,Wiley-Blackwell,18681743
npj Systems Biology and Applications,4.3,"90.0%
46/482
Applied Mathematics",451,105,70,0.967,N/A,Springer Nature,00000000
Physical Review E,4.3,"93.0%
16/223
Statistics and Probability",39015,9126,75,1.188,0.992,American Physical Society,24700045
Proceedings - Real-Time Systems Symposium,4.3,"78.0%
33/153
Hardware and Architecture",700,162,72,1.444,0.413,,00000000
Science China Information Sciences,4.3,"83.0%
35/211
General Computer Science",3796,874,71,1.483,0.639,Zhongguo Kexue Zazhishe/Science in China Press,1674733X
Sensors,4.3,"82.0%
23/125
Instrumentation",48587,11364,68,1.642,0.592,Multidisciplinary Digital Publishing Institute (MDPI),14243210
Statistical Science,4.3,"94.0%
18/344
General Mathematics",716,167,64,1.65,3.199,Institute of Mathematical Statistics,08834237
Virtual Reality,4.3,"78.0%
17/77
Computer Graphics and Computer-Aided Design",331,77,74,2.089,0.48,Springer Nature,13594338
Advances in Bioinformatics,4.2,"76.0%
8/32
Biochemistry, Genetics and Molecular Biology (miscellaneous)",220,52,69,1.295,0.522,Hindawi,16878027
Autonomous Agents and Multi-Agent Systems,4.2,"71.0%
57/195
Artificial Intelligence",594,142,77,1.541,0.566,Springer Nature,13872532
Computers and Fluids,4.2,"88.0%
34/283
General Engineering",5468,1308,73,1.509,0.999,Elsevier,00457930
Computing (Vienna/New York),4.2,"89.0%
6/54
Numerical Analysis",903,215,69,1.465,0.416,Springer Nature,0010485X
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,4.2,"78.0%
34/153
Hardware and Architecture",5260,1248,75,1.451,0.405,IEEE,10638210
International Journal of Fuzzy Systems,4.2,"84.0%
19/118
Theoretical Computer Science",2000,473,74,1.025,0.514,Springer Nature,15622479
Journal of Computational Design and Engineering,4.2,"88.0%
8/68
Computational Mechanics",552,132,74,1.877,0.668,Elsevier,22884300
"Journal of Electronic Packaging, Transactions of the ASME",4.2,"77.0%
148/669
Electrical and Electronic Engineering",817,194,73,1.07,0.468,ASME,10437398
Journal of Mathematical Psychology,4.2,"90.0%
48/482
Applied Mathematics",884,210,75,1.529,2.221,Elsevier,00222496
Journal of Network and Systems Management,4.2,"82.0%
72/408
Strategy and Management",597,143,64,1.274,0.386,Springer Nature,10647570
Operations Research,4.2,"81.0%
29/151
Management Science and Operations Research",1632,387,73,2.088,3.366,Institute for Operations Research and the Management Sciences,0030364X
Proceedings - International Conference on Software Engineering,4.2,"70.0%
109/364
Software",6501,1542,48,3.403,0.436,,02705257
Social Media and Society,4.2,"99.0%
8/980
Cultural Studies",1426,338,71,1.827,2.083,SAGE,00000000
Telecommunications Policy,4.2,"82.0%
7/37
Human Factors and Ergonomics",1138,272,73,1.612,0.753,Elsevier,03085961
BMC Bioinformatics,4.1,"89.0%
53/482
Applied Mathematics",8936,2206,70,0.903,1.374,Springer Nature,14712105
Engineering Analysis with Boundary Elements,4.1,"93.0%
10/137
Analysis",2991,730,72,1.319,1.044,Elsevier,09557997
Gene Regulation and Systems Biology,4.1,"77.0%
136/603
Ecology, Evolution, Behavior and Systematics",118,29,86,0.444,0.686,Libertas Academica,11776250
IEEE Transactions on Computational Intelligence and AI in Games,4.1,"77.0%
152/669
Electrical and Electronic Engineering",415,102,83,1.904,0.24,IEEE,1943068X
Journal of Computational and Nonlinear Dynamics,4.1,"89.0%
51/482
Applied Mathematics",2123,519,69,1.138,0.731,ASME,15551423
Journal of Real-Time Image Processing,4.1,"74.0%
75/287
Information Systems",1268,312,84,1.445,0.366,Springer Nature,18618200
Psychometrika,4.1,"89.0%
52/482
Applied Mathematics",875,215,64,1.815,3.012,Springer Nature,00333123
Speech Communication,4.1,"97.0%
23/780
Language and Linguistics",1484,361,69,1.468,0.513,Elsevier,01676393
Studies in Applied Mathematics,4.1,"89.0%
49/482
Applied Mathematics",605,146,76,1.452,1.226,Wiley-Blackwell,00222526
"Transforming Government: People, Process and Policy",4.1,"88.0%
17/142
Public Administration",410,99,71,1.24,0.644,Emerald,17506166
Applied Intelligence,4,"69.0%
60/195
Artificial Intelligence",2593,653,67,1.624,0.651,Springer Nature,0924669X
Brain-Computer Interfaces,4,"76.0%
157/669
Electrical and Electronic Engineering",265,66,73,0.897,N/A,Taylor & Francis,2326263X
Chaos,4,"94.0%
4/61
Mathematical Physics",5616,1407,76,1.174,0.99,American Institute of Physics,10541500
"Chaos, Solitons and Fractals",4,"94.0%
20/344
General Mathematics",5910,1473,70,1.227,0.818,Elsevier,09600779
Computers and Electrical Engineering,4,"82.0%
37/211
General Computer Science",4776,1202,69,1.466,0.443,Elsevier,00457906
Dianli Xitong Zidonghua/Automation of Electric Power Systems,4,"77.0%
46/203
Energy Engineering and Power Technology",9749,2422,70,1.161,0.826,Nanjing Zidonghua Yanjiusuo/Nanjing Automation Research Institute,10001026
Duke Mathematical Journal,4,"94.0%
21/344
General Mathematics",1034,261,73,2.52,5.728,Duke University Press,00127094
IEEE Micro,4,"76.0%
155/669
Electrical and Electronic Engineering",901,223,58,1.618,0.351,IEEE,02721732
IEEE Transactions on Network Science and Engineering,4,"76.0%
69/295
Computer Networks and Communications",334,83,72,1.337,0.704,IEEE,23274697
Information Technology and Management,4,"94.0%
6/97
Business, Management and Accounting (miscellaneous)",348,87,78,1.131,0.397,Springer Nature,1385951X
International Journal of Advanced Manufacturing Technology,4,"81.0%
63/335
Industrial and Manufacturing Engineering",24550,6207,72,1.636,0.987,Springer Nature,02683768
International Journal of Agile Systems and Management,4,"89.0%
11/99
",274,68,69,0.836,0.4,Inderscience,17419174
International Journal of Logistics Research and Applications,4,"83.0%
17/98
Management Information Systems",502,127,69,1.23,1.054,Taylor & Francis,13675567
International Journal of Non-Linear Mechanics,4,"88.0%
56/482
Applied Mathematics",2828,710,72,1.286,0.903,Elsevier,00207462
Journal of Automated Reasoning,4,"82.0%
22/122
Computational Theory and Mathematics",473,119,76,2.059,0.703,Springer Nature,01687433
Journal of Formalized Reasoning,4,"94.0%
19/344
General Mathematics",89,22,55,1.748,0.706,Alma Mater Studiorum (Bologna),19725787
Physica A: Statistical Mechanics and its Applications,4,"92.0%
17/223
Statistics and Probability",17704,4453,71,1.269,0.699,Elsevier,03784371
Stata Journal,4,"96.0%
2/46
Mathematics (miscellaneous)",842,211,52,2.209,2.617,Stata Press,1536867X
Theory of Computing,4,"82.0%
21/118
Theoretical Computer Science",278,70,47,1.794,0.847,"University of Chicago, Department of Computer Science",00000000
Transportmetrica B,4,"84.0%
44/273
Modeling and Simulation",250,62,81,1.192,1.124,Taylor & Francis,21680566
ACM Journal on Emerging Technologies in Computing Systems,3.9,"75.0%
167/669
Electrical and Electronic Engineering",602,156,60,1.028,0.346,ACM,15504832
Annals of Probability,3.9,"91.0%
19/223
Statistics and Probability",1394,359,76,1.983,3.72,Institute of Mathematical Statistics,00911798
Artificial Intelligence and Law,3.9,"94.0%
33/648
Law",224,58,79,1.824,0.492,Springer Nature,09248463
Communications of the Association for Information Systems,3.9,"72.0%
78/287
Information Systems",1044,271,68,0.945,0.574,ACM,15293181
"European Journal of Mechanics, B/Fluids",3.9,"90.0%
6/61
Mathematical Physics",2065,536,68,1.191,0.679,Elsevier,09977546
IBM Journal of Research and Development,3.9,"81.0%
40/211
General Computer Science",775,199,69,1.182,0.454,IBM Corp.,00188646
IEEE/ACM Transactions on Computational Biology and Bioinformatics,3.9,"88.0%
57/482
Applied Mathematics",2404,610,73,1.09,0.651,IEEE,15455963
IEEE Design and Test,3.9,"76.0%
37/153
Hardware and Architecture",913,232,62,1.623,0.356,IEEE,21682356
International Journal of Modern Physics D,3.9,"92.0%
5/61
Mathematical Physics",3865,980,67,0.768,0.839,World Scientific,02182718
