Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Journal for Research in Mathematics Education,3.5,"94.0%
3/46
Mathematics (miscellaneous)",289,82,77,2.361,1.776,National Council of Teachers of Mathematics,00218251
Journal of Computational and Graphical Statistics,3.5,"96.0%
3/71
Discrete Mathematics and Combinatorics",981,283,66,1.577,3.019,Taylor & Francis,10618600
Journal of Computer Virology and Hacking Techniques,3.5,"75.0%
15/58
Computer Science (miscellaneous)",305,87,83,1.368,0.279,Springer Nature,22742042
Journal of Cryptographic Engineering,3.5,"72.0%
83/295
Computer Networks and Communications",311,88,70,1.266,0.359,Springer Nature,21908508
Journal of Cybersecurity,3.5,"93.0%
40/648
Law",163,46,67,1.846,0.469,Oxford University Press,00000000
Journal of Nanoparticle Research,3.5,"78.0%
60/273
Modeling and Simulation",5570,1606,71,0.571,0.479,Springer Nature,13880764
Journal of Nonlinear Science,3.5,"83.0%
81/482
Applied Mathematics",799,228,72,1.374,1.127,Springer Nature,09388974
Journal of Organizational Computing and Electronic Commerce,3.5,"75.0%
30/122
Computational Theory and Mathematics",260,74,61,0.918,0.308,Taylor & Francis,10919392
Journal on Computing and Cultural Heritage,3.5,"97.0%
2/68
Conservation",314,90,80,1.48,0.429,ACM,15564673
Medical and Biological Engineering and Computing,3.5,"66.0%
196/590
Computer Science Applications",2217,632,74,1.151,0.61,Springer Nature,01400118
Multiscale Modeling and Simulation,3.5,"78.0%
59/273
Modeling and Simulation",840,241,66,1.183,1.078,Society for Industrial and Applied Mathematics,15403459
Multisensory research,3.5,"76.0%
27/114
Ophthalmology",505,145,74,0.728,0.983,Brill,22134794
Neural Processing Letters,3.5,"71.0%
84/295
Computer Networks and Communications",1558,445,66,1.015,0.569,Springer Nature,13704621
Nonlinear Analysis: Real World Applications,3.5,"94.0%
12/220
General Economics, Econometrics and Finance",1938,546,67,1.412,1.475,Elsevier,14681218
"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",3.5,"71.0%
188/669
Electrical and Electronic Engineering",18551,5231,66,1.046,0.478,,07367791
Quantum Information Processing,3.5,"80.0%
53/273
Modeling and Simulation",4222,1192,67,0.926,0.607,Springer Nature,15700755
ReCALL,3.5,"95.0%
32/780
Language and Linguistics",220,63,71,1.8,1.131,Cambridge University Press,09583440
SIAM Journal on Matrix Analysis and Applications,3.5,"90.0%
13/137
Analysis",1047,302,71,1.797,1.248,Society for Industrial and Applied Mathematics,08954798
Software - Practice and Experience,3.5,"64.0%
130/364
Software",1172,334,63,1.45,0.454,Wiley-Blackwell,00380644
ACM Transactions on Programming Languages and Systems,3.4,"61.0%
140/364
Software",213,63,60,1.336,0.334,ACM,01640925
Analysis and Applications,3.4,"89.0%
15/137
Analysis",422,125,65,1.499,1.27,World Scientific,02195305
Applied Ontology,3.4,"95.0%
35/780
Language and Linguistics",207,61,72,0.939,0.542,IOS Press,15705838
Cluster Computing,3.4,"71.0%
85/295
Computer Networks and Communications",2383,698,59,1.037,0.338,Springer Nature,13867857
Communications in Applied Mathematics and Computational Science,3.4,"81.0%
89/482
Applied Mathematics",108,32,66,1.014,0.815,Mathematical Sciences Publishers,15593940
Discrete Event Dynamic Systems: Theory and Applications,3.4,"76.0%
65/273
Modeling and Simulation",303,89,74,1.523,0.815,Springer Nature,09246703
ESAIM: Mathematical Modelling and Numerical Analysis,3.4,"90.0%
14/137
Analysis",1105,323,70,1.261,1.76,EDP Sciences,0764583X
Formal Aspects of Computing,3.4,"74.0%
31/118
Theoretical Computer Science",415,122,72,1.663,0.43,Springer Nature,09345043
IET Biometrics,3.4,"67.0%
27/81
Computer Vision and Pattern Recognition",578,170,73,1.221,0.366,Institution of Engineering and Technology,20474938
International Journal of High Performance Computing Applications,3.4,"73.0%
32/118
Theoretical Computer Science",547,162,77,1.195,0.294,SAGE,10943420
International Journal of Information Security,3.4,"75.0%
40/158
Safety, Risk, Reliability and Quality",485,143,69,1.639,0.325,Springer Nature,16155262
International Journal of Simulation Modelling,3.4,"76.0%
65/273
Modeling and Simulation",817,240,73,1.332,0.683,DAAAM International Vienna,17264529
International Journal of Structural Stability and Dynamics,3.4,"82.0%
87/482
Applied Mathematics",1857,549,71,1.246,0.831,World Scientific,02194554
Journal of Ambient Intelligence and Humanized Computing,3.4,"77.0%
48/211
General Computer Science",1180,347,72,1.208,0.35,Springer Nature,18685137
Journal of Communications and Networks,3.4,"70.0%
87/295
Computer Networks and Communications",934,276,68,0.87,0.394,Korean Institute of Communication Sciences,12292370
Journal of Computational and Applied Mathematics,3.4,"81.0%
91/482
Applied Mathematics",6593,1964,70,1.466,0.849,Elsevier,03770427
Journal of Computational Dynamics,3.4,"81.0%
29/150
Computational Mathematics",103,30,57,0.944,0.83,American Institute of Mathematical Sciences,00000000
Journal of Cryptology,3.4,"82.0%
83/482
Applied Mathematics",388,113,75,1.466,0.437,Springer Nature,09332790
Journal of Mathematical Biology,3.4,"81.0%
90/482
Applied Mathematics",1642,487,70,1.268,0.903,Springer Nature,03036812
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",3.4,"68.0%
26/81
Computer Vision and Pattern Recognition",3953,1159,71,1.22,0.686,Optical Society of America,10847529
Knowledge Engineering Review,3.4,"64.0%
70/195
Artificial Intelligence",199,58,71,1.279,0.312,Cambridge University Press,02698889
Modelling and Simulation in Materials Science and Engineering,3.4,"77.0%
62/273
Modeling and Simulation",1604,466,72,0.881,0.86,Institute of Physics Publishing,09650393
Multidimensional Systems and Signal Processing,3.4,"81.0%
92/482
Applied Mathematics",908,271,72,1.239,0.507,Springer Nature,09236082
Photogrammetric Record,3.4,"75.0%
14/56
Engineering (miscellaneous)",332,97,60,1.397,0.576,Wiley-Blackwell,0031868X
Software Quality Journal,3.4,"76.0%
38/158
Safety, Risk, Reliability and Quality",499,145,68,1.66,0.324,Springer Nature,09639314
Statistics in Medicine,3.4,"86.0%
31/223
Statistics and Probability",4146,1224,61,1.413,2.047,Wiley-Blackwell,02776715
Wave Motion,3.4,"82.0%
85/482
Applied Mathematics",1364,400,73,1.079,0.628,Elsevier,01652125
Actuators,3.3,"84.0%
16/97
Control and Optimization",423,130,64,1.6,0.637,Multidisciplinary Digital Publishing Institute (MDPI),00000000
Annals of Applied Probability,3.3,"85.0%
33/223
Statistics and Probability",1322,406,67,1.654,2.092,Institute of Mathematical Statistics,10505164
Behaviour and Information Technology,3.3,"87.0%
29/234
General Social Sciences",1154,351,69,0.753,0.555,Taylor & Francis,0144929X
China Communications,3.3,"70.0%
88/295
Computer Networks and Communications",3010,909,63,0.937,0.339,China Institute of Communication,16735447
Computational Intelligence and Neuroscience,3.3,"92.0%
28/344
General Mathematics",1968,599,66,1.117,0.397,Hindawi,16875265
Computational Social Networks,3.3,"74.0%
69/273
Modeling and Simulation",147,45,64,0.449,0.231,Springer Nature,00000000
Computer Optics,3.3,"68.0%
208/669
Electrical and Electronic Engineering",1534,467,68,2.365,0.535,"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS",01342452
Constraints,3.3,"95.0%
4/71
Discrete Mathematics and Combinatorics",256,78,72,1.419,0.405,Springer Nature,13837133
Digital Applications in Archaeology and Cultural Heritage,3.3,"94.0%
16/272
Archeology (arts and humanities)",232,70,73,1.413,1.006,Elsevier,22120548
Energies,3.3,"85.0%
15/97
Control and Optimization",24188,7343,67,1.186,0.612,Multidisciplinary Digital Publishing Institute (MDPI),19961073
Foundations and Trends in Electronic Design Automation,3.3,"70.0%
23/77
Computer Graphics and Computer-Aided Design",43,13,77,0.777,0.169,Now Publishers Inc.,15513939
IEEE Computer Architecture Letters,3.3,"68.0%
48/153
Hardware and Architecture",539,163,61,1.247,0.341,IEEE,15566056
IEEE Transactions on Cognitive and Developmental Systems,3.3,"63.0%
72/195
Artificial Intelligence",545,166,58,2.055,0.54,IEEE,23798920
IET Networks,3.3,"86.0%
14/97
Control and Optimization",480,145,59,0.951,0.369,Institution of Engineering and Technology,20474954
INFORMS Journal on Computing,3.3,"74.0%
39/151
Management Science and Operations Research",663,200,68,1.511,1.685,Institute for Operations Research and the Management Sciences,10919856
International Journal of Automation and Computing,3.3,"79.0%
97/482
Applied Mathematics",834,256,73,1.143,0.454,Springer Nature,14768186
"International Journal of Control, Automation and Systems",3.3,"63.0%
87/239
Control and Systems Engineering",2925,900,65,1.025,0.51,Korean Institute of Electrical Engineers,15986446
Journal of Business and Economic Statistics,3.3,"86.0%
40/286
Social Sciences (miscellaneous)",599,180,70,1.827,2.886,Taylor & Francis,07350015
Journal of Computer Information Systems,3.3,"88.0%
138/1179
Education",493,150,73,1.068,0.685,Taylor & Francis,08874417
Journal of Differential Equations,3.3,"88.0%
16/137
Analysis",6048,1807,67,1.748,2.352,Elsevier,00220396
Journal of Digital Imaging,3.3,"63.0%
214/590
Computer Science Applications",1119,341,71,1.191,0.666,Springer Nature,08971889
Journal of Numerical Mathematics,3.3,"77.0%
35/150
Computational Mathematics",218,66,67,1.657,1.252,Walter de Gruyter,15702820
Logistics Research,3.3,"81.0%
19/98
Management Information Systems",173,52,52,0.997,0.507,Bundesvereinigung Logistik (BVL),1865035X
Mathematical Geosciences,3.3,"92.0%
4/46
Mathematics (miscellaneous)",537,163,73,1.146,0.582,Springer Nature,18748961
Mathematics of Computation,3.3,"98.0%
2/92
Algebra and Number Theory",1722,521,69,1.808,1.503,American Mathematical Society,00255718
Measurement Science and Technology,3.3,"80.0%
94/482
Applied Mathematics",5946,1793,70,1.268,0.57,Institute of Physics Publishing,09570233
"Nonlinear Dynamics, Psychology, and Life Sciences",3.3,"80.0%
96/482
Applied Mathematics",300,92,70,0.82,0.625,Society for Chaos Theory in Psychology & Life Sciences,10900578
"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",3.3,"72.0%
33/118
Theoretical Computer Science",636,190,54,0.944,0.295,,1089795X
Robotica,3.3,"91.0%
29/344
General Mathematics",1583,482,74,1.061,0.476,Cambridge University Press,02635747
Science of Computer Programming,3.3,"60.0%
144/364
Software",1395,418,73,1.382,0.317,Elsevier,01676423
Universal Access in the Information Society,3.3,"69.0%
91/295
Computer Networks and Communications",753,231,73,1.559,0.348,Springer Nature,16155289
ACM Transactions on Applied Perception,3.2,"75.0%
52/211
General Computer Science",271,86,72,1.253,0.381,ACM,15443558
Acta Informatica,3.2,"68.0%
93/295
Computer Networks and Communications",296,92,68,1.679,0.505,Springer Nature,00015903
Arab Journal of Basic and Applied Sciences,3.2,"91.0%
30/344
General Mathematics",443,137,71,1.013,N/A,Taylor & Francis,00000000
Aslib Journal of Information Management,3.2,"88.0%
26/219
Library and Information Sciences",501,157,71,1.082,0.609,Emerald,20503806
BioSystems,3.2,"84.0%
34/223
Statistics and Probability",1182,365,71,0.879,0.449,Elsevier,03032647
Canadian Journal of Electrical and Computer Engineering,3.2,"68.0%
211/669
Electrical and Electronic Engineering",398,123,68,0.9,0.299,IEEE,08408688
Canadian Journal of Mathematics,3.2,"90.0%
32/344
General Mathematics",678,215,56,0.982,1.092,Canadian Mathematical Society,0008414X
Coastal Engineering Journal,3.2,"75.0%
23/93
Ocean Engineering",430,135,61,1.175,0.694,Taylor & Francis,05785634
Computer Supported Cooperative Work,3.2,"76.0%
51/211
General Computer Science",347,107,69,1.504,0.286,Springer Nature,09259724
Displays,3.2,"67.0%
215/669
Electrical and Electronic Engineering",572,181,67,1.068,0.377,Elsevier,01419382
Educational and Psychological Measurement,3.2,"87.0%
142/1179
Education",626,195,77,1.7,1.747,SAGE,00131644
Electronic Commerce Research,3.2,"91.0%
12/136
Economics, Econometrics and Finance (miscellaneous)",365,115,59,1.229,0.522,Springer Nature,13895753
Eurasip Journal on Advances in Signal Processing,3.2,"68.0%
213/669
Electrical and Electronic Engineering",1265,397,70,1.088,0.316,Springer Nature,16876172
Eurasip Journal on Wireless Communications and Networking,3.2,"68.0%
94/295
Computer Networks and Communications",3313,1039,63,1.078,0.316,Springer Publishing Company,16871472
Evolving Systems,3.2,"79.0%
20/97
Control and Optimization",290,91,64,1.233,0.444,Springer Nature,18686478
Finance and Stochastics,3.2,"86.0%
36/260
Finance",397,124,73,1.651,2.254,Springer Nature,09492984
"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers",3.2,"69.0%
24/77
Computer Graphics and Computer-Aided Design",1716,530,60,1.044,0.37,,10923152
IMA Journal of Management Mathematics,3.2,"92.0%
18/220
General Economics, Econometrics and Finance",254,79,68,1.095,1.018,Oxford University Press,1471678X
International Journal for Numerical Methods in Biomedical Engineering,3.2,"79.0%
101/482
Applied Mathematics",1003,314,66,1.085,0.653,Wiley-Blackwell,20407939
International Journal of Distributed Sensor Networks,3.2,"82.0%
51/283
General Engineering",5214,1639,64,0.834,0.272,SAGE,15501329
International Journal of Imaging Systems and Technology,3.2,"68.0%
212/669
Electrical and Electronic Engineering",443,138,60,0.736,0.416,Wiley-Blackwell,08999457
Journal of Control and Decision,3.2,"80.0%
19/97
Control and Optimization",203,63,68,0.813,N/A,Taylor & Francis,23307706
"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",3.2,"74.0%
149/587
Mechanical Engineering",2450,754,68,1.083,0.529,ASME,00220434
Journal of Global Optimization,3.2,"78.0%
21/97
Control and Optimization",1519,480,70,1.382,0.871,Springer Nature,09255001
Journal of Hydrodynamics,3.2,"73.0%
156/587
Mechanical Engineering",1411,440,70,1.437,0.743,Springer Nature,10016058
Journal of Mathematical Imaging and Vision,3.2,"95.0%
4/79
Geometry and Topology",932,293,69,1.399,0.669,Springer Nature,09249907
Journal of Research on Technology in Education,3.2,"87.0%
146/1179
Education",233,73,60,1.527,0.807,Taylor & Francis,15391523
Journal of Scientific Computing,3.2,"82.0%
10/54
Numerical Analysis",2765,874,67,1.545,1.434,Springer Nature,08857474
Journal of Supercomputing,3.2,"69.0%
36/118
Theoretical Computer Science",3157,1000,70,1.163,0.385,Springer Nature,09208542
Machine Vision and Applications,3.2,"66.0%
52/153
Hardware and Architecture",957,302,67,1.068,0.375,Springer Nature,09328092
Nonlinearity,3.2,"81.0%
12/61
Mathematical Physics",2281,722,60,1.306,1.4,Institute of Physics Publishing,09517715
Online Information Review,3.2,"87.0%
28/219
Library and Information Sciences",783,248,66,1.064,0.656,Emerald,14684527
Proceedings of the IEEE Conference on Decision and Control,3.2,"82.0%
17/97
Control and Optimization",4097,1264,80,0.862,0.585,,01912216
Quantum Information and Computation,3.2,"82.0%
11/61
Mathematical Physics",695,219,63,0.856,0.644,"Rinton Press, Inc.",15337146
"Technology, Pedagogy and Education",3.2,"88.0%
41/355
Communication",471,148,67,1.419,0.947,Taylor & Francis,1475939X
Transactions on Architecture and Code Optimization,3.2,"66.0%
51/153
Hardware and Architecture",701,221,67,1.201,0.274,ACM,15443566
Wiley Interdisciplinary Reviews: Computational Statistics,3.2,"84.0%
35/223
Statistics and Probability",289,90,49,1.494,1.022,Wiley-Blackwell,19395108
Zeitschrift fur Angewandte Mathematik und Physik,3.2,"91.0%
31/344
General Mathematics",1959,620,59,1.069,1.039,Springer Nature,00442275
4OR,3.1,"77.0%
23/98
Management Information Systems",219,70,63,1.563,1.22,Springer Nature,16194500
ACM Transactions on Modeling and Computer Simulation,3.1,"70.0%
82/273
Modeling and Simulation",324,104,75,1.235,0.314,ACM,10493301
ACM Transactions on Parallel Computing,3.1,"69.0%
83/273
Modeling and Simulation",258,83,69,1.25,N/A,ACM,23294949
Biometrika,3.1,"90.0%
33/344
General Mathematics",916,292,67,2.028,4.046,Oxford University Press,00063444
Biostatistics,3.1,"82.0%
39/223
Statistics and Probability",575,185,77,1.142,1.623,Oxford University Press,14654644
Calculus of Variations and Partial Differential Equations,3.1,"87.0%
18/137
Analysis",2178,710,65,1.426,2.841,Springer Nature,09442669
Computational and Mathematical Methods in Medicine,3.1,"77.0%
108/482
Applied Mathematics",2264,721,65,0.979,0.414,Hindawi,1748670X
Computational Intelligence,3.1,"74.0%
39/150
Computational Mathematics",456,146,52,1.103,0.357,Wiley-Blackwell,08247935
E-Informatica Software Engineering Journal,3.1,"55.0%
163/364
Software",93,30,67,2.353,0.364,Wroclaw University of Technology,18977979
Expert Systems,3.1,"69.0%
38/122
Computational Theory and Mathematics",670,213,68,1.195,0.429,Wiley-Blackwell,02664720
Flow Measurement and Instrumentation,3.1,"70.0%
81/273
Modeling and Simulation",1504,480,71,1.556,0.607,Elsevier,09555986
Frontiers Robotics AI,3.1,"61.0%
76/195
Artificial Intelligence",922,295,58,1.56,0.527,Frontiers Media S.A.,00000000
Genetic Programming and Evolvable Machines,3.1,"63.0%
43/118
Theoretical Computer Science",221,72,72,0.872,0.302,Springer Nature,13892576
ICT Express,3.1,"67.0%
97/295
Computer Networks and Communications",454,146,64,1.247,0.369,Korean Institute of Communications Information Sciences,00000000
IEEE Access,3.1,"80.0%
56/283
General Engineering",30633,9953,51,1.81,0.609,IEEE,21693536
IEEE Computer Graphics and Applications,3.1,"68.0%
25/77
Computer Graphics and Computer-Aided Design",888,285,55,1.228,0.289,IEEE,02721716
IEEE International Conference on Intelligent Robots and Systems,3.1,"62.0%
31/81
Computer Vision and Pattern Recognition",11499,3751,59,1.065,0.589,,00000000
Informatica,3.1,"77.0%
111/482
Applied Mathematics",415,133,62,0.975,0.356,IOS Press,08684952
Information Polity,3.1,"86.0%
48/355
Communication",260,85,49,1.031,0.257,IOS Press,15701255
Information Systems and e-Business Management,3.1,"62.0%
107/287
Information Systems",369,120,70,1.084,0.422,Springer Nature,16179846
Interacting with Computers,3.1,"59.0%
41/101
Human-Computer Interaction",543,173,70,1.01,0.262,Oxford University Press,09535438
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,3.1,"86.0%
14/99
",3223,1055,62,0.894,0.674,World Scientific,02181274
International Journal of Medical Robotics and Computer Assisted Surgery,3.1,"74.0%
101/399
Surgery",1067,343,70,0.973,0.524,Wiley-Blackwell,1478596X
Inverse Problems,3.1,"79.0%
13/61
Mathematical Physics",1870,595,69,1.362,1.046,Institute of Physics Publishing,02665611
Journal of Complex Networks,3.1,"77.0%
110/482
Applied Mathematics",473,151,60,1.282,0.608,Oxford University Press,20511310
Journal of Differential Geometry,3.1,"97.0%
3/92
Algebra and Number Theory",541,174,73,1.792,3.329,"International Press of Boston, Inc.",0022040X
Journal of Experimental and Theoretical Artificial Intelligence,3.1,"64.0%
42/118
Theoretical Computer Science",683,222,64,1.129,0.392,Taylor & Francis,0952813X
Mathematics and Computers in Simulation,3.1,"80.0%
11/54
Numerical Analysis",1576,509,69,1.02,0.526,Elsevier,03784754
Optimization and Engineering,3.1,"77.0%
22/97
Control and Optimization",444,141,68,1.297,0.56,Springer Nature,13894420
Performance Evaluation,3.1,"69.0%
85/273
Modeling and Simulation",538,175,68,1.401,0.517,Elsevier,01665316
Security and Communication Networks,3.1,"66.0%
99/295
Computer Networks and Communications",3738,1223,66,0.869,0.311,Hindawi,19390114
Simulation and Gaming,3.1,"90.0%
10/97
Business, Management and Accounting (miscellaneous)",480,154,94,0.963,0.433,SAGE,10468781
ACM Transactions on Spatial Algorithms and Systems,3,"93.0%
5/71
Discrete Mathematics and Combinatorics",143,47,60,1.298,0.513,Association for Computing Machinery (ACM),23740353
Advances in Calculus of Variations,3,"85.0%
20/137
Analysis",244,82,62,1.532,2.35,Walter de Gruyter,18648258
Combustion Theory and Modelling,3,"67.0%
88/273
General Chemical Engineering",558,188,73,0.929,0.482,Taylor & Francis,13647830
Computer Methods in Biomechanics and Biomedical Engineering,3,"59.0%
240/590
Computer Science Applications",2193,723,65,0.724,0.492,Taylor & Francis,10255842
Formal Methods in System Design,3,"63.0%
44/118
Theoretical Computer Science",291,96,71,1.04,0.308,Springer Nature,09259856
Frontiers in ICT,3,"65.0%
103/295
Computer Networks and Communications",337,113,57,0.804,N/A,Frontiers Media S.A.,00000000
Informatics in Education,3,"86.0%
165/1179
Education",204,68,65,1.25,0.282,Institute of Mathematics and Informatics,16485831
Information Systems Management,3,"86.0%
29/219
Library and Information Sciences",279,92,64,0.886,0.488,Taylor & Francis,10580530
International Journal of Circuit Theory and Applications,3,"75.0%
117/482
Applied Mathematics",1615,534,67,0.795,0.331,Wiley-Blackwell,00989886
International Journal of Computer Games Technology,3,"62.0%
29/77
Computer Graphics and Computer-Aided Design",131,44,57,1.37,0.268,Hindawi,16877047
International Journal of Grid and Utility Computing,3,"76.0%
116/482
Applied Mathematics",374,123,63,1.438,0.462,Inderscience,1741847X
Journal of Computing and Information Science in Engineering,3,"75.0%
81/335
Industrial and Manufacturing Engineering",570,187,68,1.036,0.671,ASME,15309827
Journal of Economic Dynamics and Control,3,"78.0%
134/617
Economics and Econometrics",1493,495,64,1.437,1.559,Elsevier,01651889
Journal of Heuristics,3,"73.0%
26/97
Control and Optimization",331,110,66,1.313,0.528,Springer Nature,13811231
Journal of Mathematical Chemistry,3,"75.0%
118/482
Applied Mathematics",1336,442,60,0.977,0.318,Springer Nature,02599791
Journal of Molecular Graphics and Modelling,3,"67.0%
91/275
Materials Chemistry",2259,751,69,0.615,0.459,Elsevier,10933263
Journal of Pathology Informatics,3,"62.0%
72/190
Pathology and Forensic Medicine",408,135,57,1.504,0.871,Wolters Kluwer Health,22295089
Journal of Rail Transport Planning and Management,3,"67.0%
90/273
Modeling and Simulation",236,79,72,1.132,0.791,Elsevier,22109706
Journal of Scheduling,3,"79.0%
58/283
General Engineering",543,183,72,1.422,0.885,Springer Nature,10946136
Journal of Ship Research,3,"76.0%
13/54
Numerical Analysis",213,71,59,1.475,0.876,Society of Naval Architects and Marine Engineers,00224502
Journal of the Operational Research Society,3,"75.0%
99/408
Strategy and Management",1673,566,65,1.099,0.819,Taylor & Francis,01605682
Multimedia Systems,3,"86.0%
10/70
Media Technology",538,180,69,1.043,0.313,Springer Nature,09424962
Numerical Algorithms,3,"75.0%
120/482
Applied Mathematics",1879,626,66,1.587,0.937,Springer Nature,10171398
Proceedings - Symposium on Logic in Computer Science,3,"90.0%
34/344
General Mathematics",1018,342,68,1.65,0.802,,10436871
Progress in Artificial Intelligence,3,"59.0%
80/195
Artificial Intelligence",308,101,62,1.751,0.513,Springer Nature,21926352
R Journal,3,"82.0%
40/223
Statistics and Probability",621,204,53,1.639,2.386,R Foundation for Statistical Computing,20734859
SIAM Journal on Applied Dynamical Systems,3,"86.0%
19/137
Analysis",902,300,68,1.184,0.963,Society for Industrial and Applied Mathematics,15360040
SIAM Journal on Control and Optimization,3,"76.0%
115/482
Applied Mathematics",1868,614,65,1.455,1.187,Society for Industrial and Applied Mathematics,03630129
Spatial Cognition and Computation,3,"70.0%
41/138
Earth-Surface Processes",155,52,65,1.633,0.469,Taylor & Francis,13875868
Theoretical Biology and Medical Modelling,3,"67.0%
88/273
Modeling and Simulation",298,98,57,0.607,0.559,Springer Nature,17424682
Transactions on Embedded Computing Systems,3,"59.0%
63/153
Hardware and Architecture",1209,409,71,0.979,0.326,ACM,15399087
World Wide Web,3,"66.0%
100/295
Computer Networks and Communications",737,242,67,1.176,0.402,Springer Nature,1386145X
Argument and Computation,2.9,"92.0%
61/831
Linguistics and Language",143,49,69,1.341,0.433,IOS Press,19462166
Computational Visual Media,2.9,"60.0%
31/77
Computer Graphics and Computer-Aided Design",358,122,76,0.985,0.477,Tsinghua University Press,20960433
Entertainment Computing,2.9,"56.0%
44/101
Human-Computer Interaction",364,124,66,1.321,0.332,Elsevier,18759521
European Journal of Remote Sensing,2.9,"74.0%
124/482
Applied Mathematics",670,230,72,1.22,0.693,Associazione Italiana di Telerilevamento,11298596
Geometric and Functional Analysis,2.9,"91.0%
7/79
Geometry and Topology",471,162,66,2.419,4.02,Springer Nature,1016443X
IET Communications,2.9,"64.0%
236/669
Electrical and Electronic Engineering",3519,1225,63,0.81,0.352,Institution of Engineering and Technology,17518628
International Journal of Communication Systems,2.9,"64.0%
237/669
Electrical and Electronic Engineering",2720,948,63,0.726,0.277,Wiley-Blackwell,10745351
Internet Mathematics,2.9,"74.0%
125/482
Applied Mathematics",162,56,61,1.139,0.463,Taylor & Francis,15427951
Journal of Chemometrics,2.9,"73.0%
130/482
Applied Mathematics",906,317,66,1.04,0.468,Wiley-Blackwell,08869383
Journal of Logical and Algebraic Methods in Programming,2.9,"87.0%
4/28
Logic",422,148,70,1.201,0.432,Elsevier,23522208
Journal of Optimization Theory and Applications,2.9,"73.0%
128/482
Applied Mathematics",2225,773,64,1.439,1.086,Springer Nature,00223239
Journal of Simulation,2.9,"66.0%
93/273
Modeling and Simulation",314,107,64,1.027,0.528,Taylor & Francis,17477778
Journal of the Royal Statistical Society. Series C: Applied Statistics,2.9,"81.0%
42/223
Statistics and Probability",579,198,66,1.175,1.323,Wiley-Blackwell,00359254
New Review of Hypermedia and Multimedia,2.9,"83.0%
12/70
Media Technology",180,63,56,0.668,0.46,Taylor & Francis,13614568
"Numerical Heat Transfer, Part B: Fundamentals",2.9,"75.0%
14/54
Numerical Analysis",650,228,74,0.764,0.561,Taylor & Francis,10407790
Optimal Control Applications and Methods,2.9,"74.0%
123/482
Applied Mathematics",961,329,62,1.056,0.507,Wiley-Blackwell,01432087
Parallel Computing,2.9,"64.0%
104/295
Computer Networks and Communications",698,242,67,1.126,0.328,Elsevier,01678191
SIAM-ASA Journal on Uncertainty Quantification,2.9,"92.0%
6/71
Discrete Mathematics and Combinatorics",543,188,64,1.225,1.274,Society for Industrial and Applied Mathematics Publications,00000000
Transactions of the American Mathematical Society,2.9,"89.0%
35/344
General Mathematics",3490,1209,69,1.703,2.165,American Mathematical Society,00029947
"Vital and health statistics. Series 2, Data evaluation and methods research",2.9,"81.0%
41/223
Statistics and Probability",41,14,50,1.665,11.594,U.S. National Center for Health Statistics,00832057
Zidonghua Xuebao/Acta Automatica Sinica,2.9,"61.0%
30/77
Computer Graphics and Computer-Aided Design",2305,783,62,1.315,0.377,Science Press,02544156
Advanced Modeling and Simulation in Engineering Sciences,2.8,"72.0%
131/482
Applied Mathematics",278,99,69,1.235,1.026,Springer Nature,00000000
Advances in Mechanics,2.8,"77.0%
14/61
Mathematical Physics",108,38,79,1.168,0.32,li xue jin zhan bian ji bu,10000992
Advances in Theoretical and Mathematical Physics,2.8,"88.0%
40/344
General Mathematics",315,114,55,1.048,0.885,"International Press of Boston, Inc.",10950761
Artificial Life,2.8,"54.0%
87/191
General Biochemistry, Genetics and Molecular Biology",286,103,80,0.674,0.449,MIT Press,10645462
Biological Cybernetics,2.8,"73.0%
57/211
General Computer Science",354,128,65,0.841,0.396,Springer Nature,03401200
BIT Numerical Mathematics,2.8,"72.0%
134/482
Applied Mathematics",581,208,63,1.177,0.961,Springer Nature,00063835
British Journal of Mathematical and Statistical Psychology,2.8,"79.0%
46/223
Statistics and Probability",256,92,71,1.544,2.214,Wiley-Blackwell,00071102
Bulletin of Mathematical Sciences,2.8,"89.0%
38/344
General Mathematics",164,59,68,2.224,1.478,Springer Nature,16643607
Bulletin of the Polish Academy of Sciences: Technical Sciences,2.8,"77.0%
63/283
General Engineering",1063,385,64,1.356,0.375,Polish Academy of Sciences,02397528
Clinical Simulation in Nursing,2.8,"87.0%
3/20
Nursing (miscellaneous)",904,321,63,1.118,0.917,Elsevier,18761399
Computational Optimization and Applications,2.8,"72.0%
132/482
Applied Mathematics",966,345,66,1.179,0.997,Springer Nature,09266003
Computer Aided Geometric Design,2.8,"71.0%
26/88
Automotive Engineering",700,254,61,1.216,0.736,Elsevier,01678396
Concurrent Engineering Research and Applications,2.8,"78.0%
62/283
General Engineering",305,110,61,1.204,0.549,SAGE,1063293X
Control Theory and Technology,2.8,"74.0%
32/123
Aerospace Engineering",343,121,63,0.905,0.449,Springer Nature,20956983
